fecha,bar,cierre,dentro_banda_95,sigma_emitida,error_vol_%,cobertura_rodante_90d,error_vol_medio_90d,error_vol_abs_90d,regimen_actual,regimen_cambio,ks_drift_pvalue,banda_lo_95,banda_hi_95,sigma_hoy,banda_lo_95_hoy,banda_hi_95_hoy,mz_b,train_window,sigma_har_crudo,piso_activo,b_d,riesgo_nivel,riesgo_capas,riesgo_shock,model_version,fuente
2026-08-26 00:00:00,4h,79089.2,,,,,,,estable(285d),False,0.0432,75550.45,78834.72,0.009892,76977.8,80996.28,1.0,588,0.007792,True,0.2889,ninguno,0,0.7,HAR-RV-3.4-4h,Kraken (4h)
2026-08-26 04:00:00,4h,78917.8,1.0,0.009892,-59.6,100.0,-59.6,59.6,estable(285d),False,0.0211,76977.8,80996.28,0.009585,77035.62,80690.09,1.0,588,0.006378,True,0.29,ninguno,0,0.4,HAR-RV-3.4-4h,Kraken (4h)
2026-08-26 08:00:00,4h,78480.6,1.0,0.009585,-33.0,100.0,-46.3,46.3,estable(285d),False,0.0211,77035.62,80690.09,0.008996,76630.0,79985.48,1.0,588,0.006703,True,0.2905,ninguno,0,0.67,HAR-RV-3.4-4h,Kraken (4h)
2026-08-26 12:00:00,4h,78008.8,1.0,0.008996,-8.7,100.0,-33.8,33.8,estable(285d),False,0.0097,76630.0,79985.48,0.008725,76290.26,79681.51,1.0,588,0.007391,True,0.2907,ninguno,0,0.91,HAR-RV-3.4-4h,Kraken (4h)
2026-08-26 16:00:00,4h,78459.9,1.0,0.008725,-33.1,100.0,-33.6,33.6,estable(260d),False,0.0038,76290.26,79681.51,0.008671,76724.8,80056.35,1.0,588,0.006459,True,0.2909,ninguno,0,0.67,HAR-RV-3.4-4h,Kraken (4h)
2026-08-27 04:00:00,4h,79085.7,,,,100.0,-33.6,33.6,estable(290d),False,0.0042,76724.8,80056.35,0.007734,77558.5,80460.15,1.0,588,0.005598,True,0.2922,ninguno,0,0.49,HAR-RV-3.4-4h,Kraken (4h)
2026-08-27 16:00:00,4h,79916.8,,,,100.0,-33.6,33.6,estable(265d),False,0.0017,77558.5,80460.15,0.008435,78223.66,81574.76,1.0,588,0.007979,True,0.292,ninguno,0,0.97,HAR-RV-3.4-4h,Kraken (4h)
2026-08-28 04:00:00,4h,79681.8,,,,100.0,-33.6,33.6,estable(270d),False,0.0002,78223.66,81574.76,0.008446,78294.32,81327.03,1.0,588,0.006658,True,0.2886,ninguno,0,0.38,HAR-RV-3.4-4h,Kraken (4h)
2026-08-28 16:00:00,4h,77561.2,,,,100.0,-33.6,33.6,estable(270d),False,0.0002,78294.32,81327.03,0.009397,75733.47,79264.35,1.0,588,0.009397,False,0.2886,ninguno,0,1.27,HAR-RV-3.4-4h,Kraken (4h)
2026-08-29 00:00:00,4h,77515.5,,,,100.0,-33.6,33.6,estable(272d),False,0.0001,75733.47,79264.35,0.00805,75944.32,78978.61,1.0,590,0.006203,True,0.2884,ninguno,0,0.42,HAR-RV-4.1-4h,Kraken (4h)
2026-08-29 08:00:00,4h,77593.1,,,,100.0,-33.6,33.6,estable(274d),False,0.0,75944.32,78978.61,0.007039,76213.26,78871.96,1.0,592,0.004673,True,0.2916,ninguno,0,0.29,HAR-RV-4.1-4h,Kraken (4h)
2026-08-29 12:00:00,4h,77858.4,1.0,0.007039,-32.4,100.0,-33.4,33.4,estable(275d),False,0.0,76213.26,78871.96,0.006512,76576.42,78998.26,1.0,593,0.004864,True,0.2921,ninguno,0,0.68,HAR-RV-4.1-4h,Kraken (4h)
2026-08-29 16:00:00,4h,78165.1,1.0,0.006512,-45.9,100.0,-35.5,35.5,estable(276d),False,0.0001,76576.42,78998.26,0.006327,76912.95,79277.41,1.0,594,0.004437,True,0.2927,ninguno,0,0.54,HAR-RV-4.1-4h,Kraken (4h)
2026-08-30 00:00:00,4h,78137.5,,,,100.0,-35.5,35.5,estable(183d),False,0.0013,76912.95,79277.41,0.005585,77030.56,79165.27,1.0,596,0.003997,True,0.295,ninguno,0,0.46,HAR-RV-4.1-4h,Kraken (4h)
2026-08-30 08:00:00,4h,78149.9,,,,100.0,-35.5,35.5,estable(180d),False,0.0086,77030.56,79165.27,0.004955,77165.49,79027.13,1.0,598,0.003564,True,0.2971,ninguno,0,0.39,HAR-RV-4.1-4h,Kraken (4h)
2026-08-30 12:00:00,4h,78808.3,1.0,0.004955,23.3,100.0,-27.1,33.7,estable(181d),False,0.0199,77165.49,79027.13,0.005015,77856.86,79649.59,1.0,599,0.005015,False,0.2968,ninguno,0,1.23,HAR-RV-4.1-4h,Kraken (4h)
2026-08-30 16:00:00,4h,78850.2,1.0,0.005015,-3.0,100.0,-24.0,29.9,estable(182d),False,0.0216,77856.86,79649.59,0.004897,77869.72,79724.78,1.0,600,0.004897,False,0.2968,ninguno,0,0.97,HAR-RV-4.1-4h,Kraken (4h)
2026-08-31 00:00:00,4h,77738.8,,,,100.0,-24.0,29.9,estable(184d),False,0.0354,77869.72,79724.78,0.006979,76240.5,79012.42,1.0,602,0.006979,False,0.2948,ninguno,0,1.01,HAR-RV-4.1-4h,Kraken (4h)
2026-08-31 12:00:00,4h,78564.8,,,,100.0,-24.0,29.9,estable(182d),False,0.0526,76240.5,79012.42,0.00788,77003.35,79887.33,1.0,605,0.00788,False,0.2948,ninguno,0,1.02,HAR-RV-4.1-4h,Kraken (4h)
2026-08-31 16:00:00,4h,78900.0,1.0,0.00788,-22.5,100.0,-23.9,29.1,estable(183d),False,0.0548,77003.35,79887.33,0.006592,77582.06,80074.97,1.0,606,0.006592,False,0.2947,ninguno,0,0.78,HAR-RV-4.1-4h,Kraken (4h)
2026-09-01 00:00:00,4h,78656.9,,,,100.0,-23.9,29.1,estable(180d),False,0.0833,77582.06,80074.97,0.006208,77395.11,79716.09,1.0,608,0.006082,True,0.2947,ninguno,0,0.82,HAR-RV-4.1-4h,Kraken (4h)
2026-09-01 08:00:00,4h,78072.6,,,,100.0,-23.9,29.1,estable(182d),False,0.2707,77395.11,79716.09,0.006406,76690.13,79248.61,1.0,610,0.006406,False,0.2947,ninguno,0,1.07,HAR-RV-4.1-4h,Kraken (4h)
2026-09-01 12:00:00,4h,77891.0,1.0,0.006406,11.0,100.0,-20.4,27.2,estable(183d),False,0.2773,76690.13,79248.61,0.006579,76537.11,79093.7,1.0,611,0.006579,False,0.2947,ninguno,0,1.11,HAR-RV-4.1-4h,Kraken (4h)
