fecha,bar,cierre,dentro_banda_95,sigma_emitida,error_vol_%,cobertura_rodante_90d,error_vol_medio_90d,error_vol_abs_90d,regimen_actual,regimen_cambio,ks_drift_pvalue,banda_lo_95,banda_hi_95,sigma_hoy,banda_lo_95_hoy,banda_hi_95_hoy,mz_b,train_window,sigma_har_crudo,piso_activo,b_d,riesgo_nivel,riesgo_capas,riesgo_shock,model_version,fuente
2026-08-26 00:00:00,8h,78917.8,,,,,,,volatil(255d),False,0.0019,,,0.014647,76252.58,81205.38,1.0,294,0.010624,True,0.3135,ninguno,0,0.48,HAR-RV-3.4-8h,Kraken (8h)
2026-08-26 08:00:00,8h,78008.8,1.0,0.014647,-23.5,100.0,-23.5,23.5,volatil(255d),False,0.0055,76252.58,81205.38,0.013112,75444.01,80029.89,1.0,294,0.011999,True,0.3129,ninguno,0,0.77,HAR-RV-3.4-8h,Kraken (8h)
2026-08-27 00:00:00,8h,79085.7,,,,100.0,-23.5,23.5,volatil(260d),False,0.0116,75444.01,80029.89,0.01215,76793.2,81095.74,1.0,294,0.008153,True,0.314,ninguno,0,0.31,HAR-RV-3.4-8h,Kraken (8h)
2026-08-27 16:00:00,8h,80265.9,,,,100.0,-23.5,23.5,volatil(260d),False,0.0116,76793.2,81095.74,0.011303,78057.24,82122.94,1.0,294,0.009676,True,0.3103,ninguno,0,0.73,HAR-RV-3.4-8h,Kraken (8h)
2026-08-28 08:00:00,8h,78333.7,,,,100.0,-23.5,23.5,volatil(265d),False,0.0544,78057.24,82122.94,0.011368,76206.04,80148.02,1.0,294,0.01099,True,0.3087,ninguno,0,1.02,HAR-RV-3.4-8h,Kraken (8h)
2026-08-28 16:00:00,8h,77841.8,1.0,0.011368,4.9,100.0,-9.3,14.2,volatil(266d),False,0.1099,76206.04,80148.02,0.011594,75686.71,79680.8,1.0,295,0.011594,False,0.3087,ninguno,0,1.05,HAR-RV-4.1-8h,Kraken (8h)
2026-08-29 00:00:00,8h,77637.0,1.0,0.011594,-61.4,100.0,-26.7,29.9,volatil(267d),False,0.2056,75686.71,79680.8,0.011518,75463.15,79326.54,1.0,296,0.008574,True,0.3088,ninguno,0,0.39,HAR-RV-4.1-8h,Kraken (8h)
2026-08-29 08:00:00,8h,77858.4,1.0,0.011518,-55.7,100.0,-33.9,36.4,volatil(268d),False,0.225,75463.15,79326.54,0.010109,75969.32,79415.01,1.0,297,0.008497,True,0.3114,ninguno,0,0.44,HAR-RV-4.1-8h,Kraken (8h)
2026-08-29 16:00:00,8h,78227.8,1.0,0.010109,-65.2,100.0,-40.2,42.1,volatil(269d),False,0.2468,75969.32,79415.01,0.009108,76515.9,79700.96,1.0,298,0.007284,True,0.3142,ninguno,0,0.35,HAR-RV-4.1-8h,Kraken (8h)
2026-08-30 00:00:00,8h,78127.1,1.0,0.009108,-71.9,100.0,-45.5,47.1,estable(90d),False,0.1818,76515.9,79700.96,0.007991,76626.55,79419.02,1.0,299,0.006366,True,0.3177,ninguno,0,0.28,HAR-RV-4.1-8h,Kraken (8h)
2026-08-30 08:00:00,8h,78808.3,1.0,0.007991,-7.4,100.0,-40.0,41.4,estable(91d),False,0.2173,76626.55,79419.02,0.007593,77369.27,80046.16,1.0,300,0.007593,False,0.3177,ninguno,0,0.93,HAR-RV-4.1-8h,Kraken (8h)
2026-08-30 16:00:00,8h,77681.6,1.0,0.007593,139.9,100.0,-17.5,53.7,estable(92d),False,0.2035,77369.27,80046.16,0.011943,75428.77,79515.94,1.0,301,0.011943,False,0.3164,ninguno,0,2.4,HAR-RV-4.1-8h,Kraken (8h)
2026-08-31 08:00:00,8h,78564.8,,,,100.0,-17.5,53.7,estable(94d),False,0.427,75428.77,79515.94,0.00934,76769.99,80083.94,1.0,303,0.00934,False,0.3128,ninguno,0,0.91,HAR-RV-4.1-8h,Kraken (8h)
2026-08-31 16:00:00,8h,78566.1,1.0,0.00934,-28.4,100.0,-18.7,50.9,estable(90d),False,0.4215,76769.99,80083.94,0.00897,76841.96,80027.76,1.0,304,0.00897,False,0.3129,ninguno,0,0.72,HAR-RV-4.1-8h,Kraken (8h)
