timestamp,close,high,low
2021-02-27,46191.39,48362.8,45063.84
2021-02-28,45261.03,46645.9,43061.92
2021-03-01,49635.07,49812.2,45058.98
2021-03-02,48501.21,50221.14,47097.84
2021-03-03,50392.55,52625.39,48176.64
2021-03-04,48363.74,51792.65,47516.91
2021-03-05,48775.37,49467.19,46311.43
2021-03-06,48892.8,49185.32,47099.07
2021-03-07,50964.18,51455.54,48892.8
2021-03-08,52405.02,52408.08,49341.09
2021-03-09,54928.7,54933.93,51888.98
2021-03-10,55893.31,57396.59,53054.34
2021-03-11,57809.41,58142.77,54314.65
2021-03-12,57256.22,58069.58,55089.68
2021-03-13,61179.79,61749.15,56103.32
2021-03-14,58998.89,61674.66,58980.95
2021-03-15,55665.01,60589.17,54857.68
2021-03-16,56925.01,56936.04,53269.13
2021-03-17,58909.0,58975.28,54156.11
2021-03-18,57643.32,60077.79,57022.2
2021-03-19,58060.21,59453.32,56283.37
2021-03-20,58101.34,59911.7,57837.79
2021-03-21,57374.95,58621.34,55635.61
2021-03-22,54095.36,58431.44,53795.78
2021-03-23,54355.45,55836.27,52984.36
2021-03-24,52303.02,57202.53,51685.15
2021-03-25,51336.09,53199.52,50406.31
2021-03-26,55055.43,55083.9,51275.54
2021-03-27,55863.73,56606.78,53991.0
2021-03-28,55781.01,56561.55,54717.97
2021-03-29,57626.1,58413.9,54910.57
2021-03-30,58781.54,59402.27,57055.21
2021-03-31,58793.8,59818.5,56918.81
2021-04-01,58730.82,59469.45,57949.11
2021-04-02,58987.8,60061.51,58458.46
2021-04-03,57074.97,59770.87,56958.04
2021-04-04,58219.43,58493.73,56493.38
2021-04-05,59119.56,59235.68,56833.44
2021-04-06,58010.35,59464.31,57369.44
2021-04-07,55951.98,58628.19,55467.58
2021-04-08,58084.46,58150.23,55711.07
2021-04-09,58106.85,58881.94,57694.22
2021-04-10,59784.8,61193.5,57885.43
2021-04-11,59980.45,60673.37,59218.25
2021-04-12,59845.76,61233.29,59421.37
2021-04-13,63558.48,63682.32,59811.31
2021-04-14,62964.27,64859.81,61312.98
2021-04-15,63233.03,63826.89,62038.33
2021-04-16,61416.41,63567.11,60048.13
2021-04-17,60056.07,62541.21,59712.92
2021-04-18,56246.82,60393.33,52785.1
2021-04-19,55680.11,57590.64,54291.08
2021-04-20,56496.06,57101.05,53429.73
2021-04-21,53803.25,56801.94,53640.81
2021-04-22,51717.61,55458.61,50519.78
2021-04-23,51178.03,52112.75,47495.24
2021-04-24,50115.99,51223.86,48769.48
2021-04-25,49120.97,50576.4,47073.07
2021-04-26,54062.29,54389.71,48843.41
2021-04-27,55073.48,55490.94,53357.59
2021-04-28,54877.94,56461.55,53886.63
2021-04-29,53581.58,55217.24,52399.42
2021-04-30,57757.97,57984.34,53089.93
2021-05-01,57843.16,58498.65,57057.4
2021-05-02,56623.51,57934.82,56092.72
2021-05-03,57195.07,58963.84,56531.6
2021-05-04,53244.07,57226.81,53108.04
2021-05-05,57506.88,57944.11,52978.89
2021-05-06,56441.94,58392.76,55299.4
2021-05-07,57374.33,58695.29,55311.16
2021-05-08,58943.13,59521.69,56985.44
2021-05-09,58294.18,59276.99,56350.98
2021-05-10,55870.01,59587.03,54239.16
2021-05-11,56747.52,56928.37,54490.38
2021-05-12,49504.08,58005.44,49182.89
2021-05-13,49700.6,51377.99,47029.73
2021-05-14,49887.96,51554.66,48910.06
2021-05-15,46775.29,50710.05,46606.18
2021-05-16,46490.71,49808.83,43918.69
2021-05-17,43552.14,46665.19,42130.83
2021-05-18,42886.02,45819.36,42309.39
2021-05-19,36771.87,43564.34,29925.2
2021-05-20,40597.4,42520.03,35009.25
2021-05-21,37350.39,42252.07,33552.8
2021-05-22,37491.5,38841.92,35287.71
2021-05-23,34716.84,38304.55,31157.18
2021-05-24,38837.76,39945.35,34467.32
2021-05-25,38387.36,39842.9,36509.09
2021-05-26,39295.08,40854.81,37855.81
2021-05-27,38538.84,40408.95,37211.84
2021-05-28,35680.92,38879.6,34733.76
2021-05-29,34611.58,37307.1,33666.06
2021-05-30,35662.59,36481.62,33400.65
2021-05-31,37290.83,37512.8,34202.86
2021-06-01,36683.51,37910.19,35733.52
2021-06-02,37576.98,38225.18,35935.34
2021-06-03,39229.66,39482.46,37199.92
2021-06-04,36861.5,39273.49,35617.03
2021-06-05,35538.4,37911.76,34846.16
2021-06-06,35798.57,36453.81,35264.34
2021-06-07,33582.86,36790.39,33367.12
2021-06-08,33409.38,34061.09,31034.35
2021-06-09,37391.58,37528.42,32435.18
2021-06-10,36680.78,38387.2,35821.05
2021-06-11,37339.98,37665.85,35981.84
2021-06-12,35541.78,37445.32,34655.21
2021-06-13,39017.37,39374.68,34802.24
2021-06-14,40526.63,41025.42,38755.79
2021-06-15,40161.86,41307.06,39526.69
2021-06-16,38345.41,40487.98,38122.04
2021-06-17,38082.3,39537.42,37386.57
2021-06-18,35830.29,38201.23,35158.89
2021-06-19,35515.38,36443.26,34863.17
2021-06-20,35602.26,36139.95,33377.82
2021-06-21,31652.62,35760.61,31284.7
2021-06-22,32537.58,33312.87,28908.07
2021-06-23,33678.64,34831.93,31790.02
2021-06-24,34649.84,35267.23,32340.83
2021-06-25,31593.86,35494.5,31290.25
2021-06-26,32307.35,32680.58,30190.9
2021-06-27,34713.81,34754.5,32031.15
2021-06-28,34487.11,35292.57,33890.86
2021-06-29,35901.41,36624.75,34243.82
2021-06-30,35056.39,36090.37,34062.04
2021-07-01,33543.11,35065.41,32757.33
2021-07-02,33804.54,33968.47,32715.18
2021-07-03,34682.84,34944.91,33333.05
2021-07-04,35287.97,35945.36,34390.95
2021-07-05,33702.79,35290.8,33151.51
2021-07-06,34237.66,35096.65,33558.75
2021-07-07,33880.79,35066.82,33807.42
2021-07-08,32874.01,33934.31,32108.68
2021-07-09,33804.2,34076.49,32274.31
2021-07-10,33515.13,34253.5,33030.16
2021-07-11,34249.3,34595.69,33335.4
2021-07-12,33088.51,34658.46,32660.38
2021-07-13,32737.47,33335.54,32206.14
2021-07-14,32820.5,33099.2,31601.99
2021-07-15,31867.46,33188.54,31133.75
2021-07-16,31401.76,32256.94,31046.14
2021-07-17,31546.64,31966.25,31194.16
2021-07-18,31806.3,32446.17,31131.67
2021-07-19,30847.55,31907.17,30487.11
2021-07-20,29795.55,31063.88,29320.09
2021-07-21,32139.48,32814.13,29513.88
2021-07-22,32299.47,32604.4,31738.48
2021-07-23,33637.92,33637.93,32012.62
2021-07-24,34282.56,34519.75,33429.09
2021-07-25,35369.93,35382.63,33892.36
2021-07-26,37269.52,40553.85,35270.24
2021-07-27,39496.69,39535.5,36422.45
2021-07-28,40030.01,40906.09,38809.89
2021-07-29,40030.52,40633.62,39281.83
2021-07-30,42231.83,42301.76,38346.18
2021-07-31,41474.72,42373.59,41065.61
2021-08-01,39870.76,42584.65,39471.54
2021-08-02,39158.53,40446.6,38698.01
2021-08-03,38189.3,39779.45,37679.22
2021-08-04,39738.56,39961.11,37526.24
2021-08-05,40888.18,41409.14,37330.04
2021-08-06,42852.18,43363.62,39895.05
2021-08-07,44617.96,44731.51,42473.57
2021-08-08,43827.75,45310.33,43300.59
2021-08-09,46292.61,46476.01,42818.07
2021-08-10,45601.03,46707.56,44663.2
2021-08-11,45556.69,46763.89,45360.51
2021-08-12,44425.52,46214.21,43786.4
2021-08-13,47832.93,47890.79,44260.38
2021-08-14,47102.03,48136.25,46049.28
2021-08-15,47015.94,47390.93,45595.22
2021-08-16,45927.4,48064.42,45681.1
2021-08-17,44684.43,47100.97,44438.79
2021-08-18,44714.54,46024.97,44240.9
2021-08-19,46761.49,47044.06,43982.21
2021-08-20,49336.45,49377.5,46652.0
2021-08-21,48867.87,49809.82,48330.03
2021-08-22,49289.71,49512.19,48119.98
2021-08-23,49521.06,50513.83,49048.25
2021-08-24,47690.54,49859.97,47580.66
2021-08-25,48996.44,49257.74,47135.07
2021-08-26,46852.22,49358.2,46456.68
2021-08-27,49088.1,49166.31,46376.81
2021-08-28,48918.9,49306.47,48386.9
2021-08-29,48794.26,49653.49,47841.49
2021-08-30,46993.31,48878.11,46872.47
2021-08-31,47159.26,48252.74,46713.72
2021-09-01,48840.01,49062.05,46544.74
2021-09-02,49280.77,50374.89,48632.7
2021-09-03,50019.51,51056.15,48362.56
2021-09-04,49935.29,50549.35,49501.12
2021-09-05,51784.16,51890.18,49499.28
2021-09-06,52693.32,52766.16,51035.68
2021-09-07,46856.31,52919.24,43904.42
2021-09-08,46073.45,47362.35,44475.76
2021-09-09,46392.85,47335.29,45572.3
2021-09-10,44853.1,47026.67,44198.27
2021-09-11,45166.12,45987.63,44741.98
2021-09-12,46049.72,46403.5,44765.82
2021-09-13,44958.56,46821.84,43511.3
2021-09-14,47129.01,47263.56,44776.37
2021-09-15,48148.45,48457.3,46725.15
2021-09-16,47764.47,48498.51,47050.55
2021-09-17,47297.98,48172.36,46770.31
2021-09-18,48312.46,48808.0,47066.47
2021-09-19,47251.76,48376.3,46864.5
2021-09-20,42925.46,47340.49,42552.63
2021-09-21,40709.59,43625.93,39767.17
2021-09-22,43576.15,44012.22,40589.07
